MatchUP; IN ; OUT
Unknown, URx Delver, Sneak and Show, Merfolk, Affinity; 3 TS, 1 Breaker; 3 CM, 1 Cabal Rit
UB-Tempo; 3 TS, 1 Breaker, 1 Stormbrood;  3 CM, 2 Cabal Rit
Goblins, Red Painter, Energy,Red/Eldrazi Stompy, Initiative;4 FOV, 1 Breaker, 2 Disciple;3 CM, 4 PON
Lands, Cradle Control; 4 Sanctity, 2 TS, 1 Breaker, ; 3 CM, 4 Cabal Rit
GWx Depths, Turbo Depths ; 4 Sanctity, 2 TS, 1 Breaker;3 CM, 4 Cabal Rit, 
Maverick; 4 Sanctity, 1 Breaker, 1 Stormbrood; 4 PON, 2 CM
Beanstalk/Esper Control; 2 Reanimate, 2 TS, 1 Breaker;3 Cabal Rit, 1 Dirge, 1 Disciple
Mirror OTP; 2 Reanimate, 2 TS; 4 PON;
Mirror OTD; 4 Sanctity ; 4 PON;
Black Stompy; 4 FOV, 4 Sanctity, 1 Breaker, 1 Disciple, 1 Stormbrood;4 PON, 4 Cabal Rit 2 TS, 1 Dirge;
Death and Taxes; 4 FOV, 1 Breaker, 1 Disciple, 1 Stormbrood;4 PON, CM;
Mystic Forge; 4 FOV, 2 TS, 1 Breaker, 1 Disciple;4 PON, 3 Cabal Rit, 1 Dirge
