deck;format;proxy;maindeck;count;card
delver;legacy;O;M;4;Brainstorm
delver;legacy;O;M;1;Brazen Borrower
delver;legacy;O;M;3;Cori-Steel Cutter
delver;legacy;O;M;4;Daze
delver;legacy;O;M;4;Delver of Secrets
delver;legacy;O;M;4;Dragon's Rage Channeler
delver;legacy;O;M;4;Flooded Strand
delver;legacy;O;M;4;Force of Will
delver;legacy;O;M;1;Island
delver;legacy;O;M;4;Lightning Bolt
delver;legacy;O;M;4;Mishra's Bauble
delver;legacy;O;M;2;Murktide Regent
delver;legacy;O;M;4;Polluted Delta
delver;legacy;O;M;4;Ponder
delver;legacy;O;M;2;Preordain
delver;legacy;O;M;1;Proft's Eidetic Memory
delver;legacy;O;M;1;Thundering Falls
delver;legacy;O;M;1;Unholy Heat
delver;legacy;O;M;4;Volcanic Island
delver;legacy;O;M;4;Wasteland
delver;legacy;O;S;1;Blood Moon
delver;legacy;O;S;2;Consign to Memory
delver;legacy;O;S;2;Force of Negation
delver;legacy;O;S;2;Grafdigger's Cage
delver;legacy;O;S;2;Hydroblast
delver;legacy;O;S;2;Meltdown
delver;legacy;O;S;1;Pyroblast
delver;legacy;O;S;1;Red Elemental Blast
delver;legacy;O;S;2;Surgical Extraction
