deck;format;proxy;maindeck;count;card
Oops;Legacy;O;M;4;Agadeem's Awakening
Oops;Legacy;O;M;4;Balustrade Spy
Oops;Legacy;O;M;4;Boggart Trawler
Oops;Legacy;O;M;1;Bridge from Below
Oops;Legacy;O;M;4;Cabal Ritual
Oops;Legacy;O;M;2;Cabal Therapy
Oops;Legacy;O;M;3;Chrome Mox
Oops;Legacy;O;M;4;Dark Ritual
Oops;Legacy;O;M;1;Disciple of Freyalise
Oops;Legacy;O;M;1;Dread Return
Oops;Legacy;O;M;4;Elvish Spirit Guide
Oops;Legacy;O;M;2;Lively Dirge
Oops;Legacy;O;P;2;Lively Dirge
Oops;Legacy;O;M;4;Lotus Petal
Oops;Legacy;O;M;1;Memory's Journey
Oops;Legacy;O;M;3;Narcomoeba
Oops;Legacy;O;M;4;Pact of Negation
Oops;Legacy;O;M;1;Poxwalkers
Oops;Legacy;O;M;1;Reanimate
Oops;Legacy;O;M;4;Simian Spirit Guide
Oops;Legacy;O;M;4;Summoner's Pact
Oops;Legacy;O;M;1;Thassa's Oracle
Oops;Legacy;O;S;1;Wild Cantor
Oops;Legacy;O;S;2;Disciple of Freyalise
Oops;Legacy;O;S;1;Disruptive Stormbrood
Oops;Legacy;O;S;4;Force of Vigor
Oops;Legacy;O;S;1;Foundation Breaker
Oops;Legacy;O;S;4;Leyline of Sanctity
Oops;Legacy;O;S;3;Thoughtseize
