deck;format;proxy;maindeck;count;card
Sneak & Show;Legacy;O;M;4;Ancient Tomb
Sneak & Show;Legacy;O;M;1;Archon of Cruelty
Sneak & Show;Legacy;O;M;4;Atraxa, Grand Unifier
Sneak & Show;Legacy;O;M;4;Brainstorm
Sneak & Show;Legacy;O;M;1;City of Traitors
Sneak & Show;Legacy;O;M;3;Emrakul, the Aeons Torn
Sneak & Show;Legacy;O;M;2;Flooded Strand
Sneak & Show;Legacy;O;M;2;Flusterstorm
Sneak & Show;Legacy;O;M;4;Force of Will
Sneak & Show;Legacy;O;M;2;Island
Sneak & Show;Legacy;O;M;4;Lotus Petal
Sneak & Show;Legacy;O;M;1;Mistrise Village
Sneak & Show;Legacy;O;M;2;Misty Rainforest
Sneak & Show;Legacy;O;M;2;Omniscience
Sneak & Show;Legacy;O;M;4;Ponder
Sneak & Show;Legacy;O;M;3;Scalding Tarn
Sneak & Show;Legacy;O;M;4;Show and Tell
Sneak & Show;Legacy;O;M;1;Sink into Stupor
Sneak & Show;Legacy;O;M;4;Sneak Attack
Sneak & Show;Legacy;O;M;4;Stock Up
Sneak & Show;Legacy;O;M;1;Thundering Falls
Sneak & Show;Legacy;O;M;3;Volcanic Island
Sneak & Show;Legacy;O;S;1;Abrade
Sneak & Show;Legacy;O;S;1;Blue Elemental Blast
Sneak & Show;Legacy;O;S;2;Brotherhood's End
Sneak & Show;Legacy;O;S;2;Grafdigger's Cage
Sneak & Show;Legacy;O;S;3;Hexing Squelcher
Sneak & Show;Legacy;O;S;1;Hurkyl's Recall
Sneak & Show;Legacy;O;S;2;Magus of the Moon
Sneak & Show;Legacy;O;S;1;Pyroblast
Sneak & Show;Legacy;O;S;1;Red Elemental Blast
Sneak & Show;Legacy;O;S;1;Spell Pierce
