deck;format;proxy;maindeck;count;card
terrageddon;premodern;O;M;3;Armageddon
terrageddon;premodern;O;M;3;Call of the Herd
terrageddon;premodern;O;M;1;Cataclysm
terrageddon;premodern;O;M;2;Exalted Angel
terrageddon;premodern;O;M;3;Forest
terrageddon;premodern;O;M;4;Gemstone Mine
terrageddon;premodern;O;M;1;Kor Haven
terrageddon;premodern;F;M;4;Mox Diamond
terrageddon;premodern;O;M;2;Naturalize
terrageddon;premodern;O;M;3;Nimble Mongoose
terrageddon;premodern;O;M;2;Plains
terrageddon;premodern;O;M;2;Rishadan Port
terrageddon;premodern;O;M;1;Rith's Grove
terrageddon;premodern;O;M;1;Secluded Steppe
terrageddon;premodern;O;M;4;Swords to Plowshares
terrageddon;premodern;O;M;3;Sylvan Library
terrageddon;premodern;O;M;4;Terravore
terrageddon;premodern;O;M;2;Tranquil Thicket
terrageddon;premodern;O;M;2;Treetop Village
terrageddon;premodern;O;M;4;Wasteland
terrageddon;premodern;O;M;3;Weathered Wayfarer
terrageddon;premodern;O;M;2;Anurid Brushhopper
terrageddon;premodern;O;M;4;Windswept Heath
terrageddon;premodern;O;S;1;Cataclysm
terrageddon;premodern;O;S;2;Cursed Totem
terrageddon;premodern;O;S;4;Oath of Druids
terrageddon;premodern;O;S;1;Phyrexian Furnace
terrageddon;premodern;O;S;2;Pyroblast
terrageddon;premodern;O;S;2;Pyroclasm
terrageddon;premodern;O;S;1;Tormod's Crypt
terrageddon;premodern;O;S;1;Warmth
terrageddon;premodern;O;S;1;Zuran Orb
