deck;format;proxy;maindeck;count;card
Turbo-Cub;Standard_Bo1;V;M;4;Badgermole Cub
Turbo-Cub;Standard_Bo1;V;M;4;Bramble Familiar
Turbo-Cub;Standard_Bo1;V;M;4;Craterhoof Behemoth
Turbo-Cub;Standard_Bo1;V;M;4;Gene Pollinator
Turbo-Cub;Standard_Bo1;V;M;4;Leyline Weaver
Turbo-Cub;Standard_Bo1;V;M;4;Llanowar Elves
Turbo-Cub;Standard_Bo1;V;M;4;Nature's Rhythm
Turbo-Cub;Standard_Bo1;V;M;4;Ouroboroid
Turbo-Cub;Standard_Bo1;V;M;4;Pawpatch Recruit
Turbo-Cub;Standard_Bo1;V;M;4;Tender Wildguide
Turbo-Cub;Standard_Bo1;V;M;3;Ba Sing Se
Turbo-Cub;Standard_Bo1;V;M;17;Forest
